segmento,fecha,estrategia,cluster,n_agentes,mediana_margen_cop_kwh,media_margen_cop_kwh,puesto_del_dia
GRANDE,2025-03-21,Comercializador regulado,3,5,-21.89,-26.9,2
GRANDE,2025-03-21,Trader no regulado,1,2,-10.44,-46.09,1
GRANDE,2025-03-22,Comercializador regulado,3,5,-17.04,-23.46,2
GRANDE,2025-03-22,Trader no regulado,1,2,-5.16,-43.45,1
GRANDE,2025-03-23,Comercializador regulado,3,5,-13.82,-17.95,2
GRANDE,2025-03-23,Trader no regulado,1,2,6.21,-48.11,1
GRANDE,2025-03-24,Comercializador regulado,3,5,-18.25,-22.13,2
GRANDE,2025-03-24,Trader no regulado,1,2,-1.65,-38.4,1
GRANDE,2025-03-25,Comercializador regulado,3,5,-33.17,-35.81,2
GRANDE,2025-03-25,Trader no regulado,1,2,-32.1,-63.14,1
GRANDE,2025-03-26,Comercializador regulado,3,5,-26.08,-29.79,2
GRANDE,2025-03-26,Trader no regulado,1,2,-15.48,-52.6,1
GRANDE,2025-03-27,Comercializador regulado,3,5,-35.34,-37.67,1
GRANDE,2025-03-27,Trader no regulado,1,2,-36.34,-73.44,2
GRANDE,2025-03-28,Comercializador regulado,3,5,-30.06,-32.78,2
GRANDE,2025-03-28,Trader no regulado,1,2,-26.06,-72.63,1
GRANDE,2025-03-29,Comercializador regulado,3,5,-8.08,-13.69,2
GRANDE,2025-03-29,Trader no regulado,1,2,2.74,-75.93,1
GRANDE,2025-03-30,Comercializador regulado,3,5,-14.99,-21.26,2
GRANDE,2025-03-30,Trader no regulado,1,2,7.31,-108.52,1
GRANDE,2025-03-31,Comercializador regulado,3,5,-28.9,-31.72,2
GRANDE,2025-03-31,Trader no regulado,1,2,-21.71,-124.2,1
GRANDE,2025-04-01,Comercializador regulado,3,5,-21.37,-24.89,2
GRANDE,2025-04-01,Trader no regulado,1,2,-10.1,-128.25,1
GRANDE,2025-04-02,Comercializador regulado,3,5,-23.64,-26.92,2
GRANDE,2025-04-02,Trader no regulado,1,2,-8.6,-119.77,1
GRANDE,2025-04-03,Comercializador regulado,3,5,-25.07,-28.35,2
GRANDE,2025-04-03,Trader no regulado,1,2,-21.89,-128.74,1
GRANDE,2025-04-04,Comercializador regulado,3,5,-16.23,-20.66,2
GRANDE,2025-04-04,Trader no regulado,1,2,-9.71,-103.56,1
GRANDE,2025-04-05,Comercializador regulado,3,5,-9.27,-14.83,2
GRANDE,2025-04-05,Trader no regulado,1,2,-4.48,-109.3,1
GRANDE,2025-04-06,Comercializador regulado,3,5,-9.41,-16.34,2
GRANDE,2025-04-06,Trader no regulado,1,2,-6.21,-140.72,1
GRANDE,2025-04-07,Comercializador regulado,3,5,-18.98,-22.92,2
GRANDE,2025-04-07,Trader no regulado,1,2,-10.76,-131.44,1
GRANDE,2025-04-08,Comercializador regulado,3,5,-25.58,-28.31,1
GRANDE,2025-04-08,Trader no regulado,1,2,-27.02,-114.95,2
GRANDE,2025-04-09,Comercializador regulado,3,5,-21.79,-25.51,2
GRANDE,2025-04-09,Trader no regulado,1,2,-15.48,-115.3,1
GRANDE,2025-04-10,Comercializador regulado,3,5,-11.93,-17.83,2
GRANDE,2025-04-10,Trader no regulado,1,2,-5.06,-110.61,1
GRANDE,2025-04-11,Comercializador regulado,3,5,-16.58,-18.13,2
GRANDE,2025-04-11,Trader no regulado,1,2,-6.47,-116.95,1
GRANDE,2025-04-12,Comercializador regulado,3,5,-5.9,-11.96,2
GRANDE,2025-04-12,Trader no regulado,1,2,4.14,-108.0,1
GRANDE,2025-04-13,Comercializador regulado,3,5,-6.6,-12.71,2
GRANDE,2025-04-13,Trader no regulado,1,2,-1.22,-115.42,1
GRANDE,2025-04-14,Comercializador regulado,3,5,-1.7,-10.51,2
GRANDE,2025-04-14,Trader no regulado,1,2,6.57,-95.77,1
GRANDE,2025-04-15,Comercializador regulado,3,5,-5.54,-13.08,2
GRANDE,2025-04-15,Trader no regulado,1,2,-3.36,-74.44,1
GRANDE,2025-04-16,Comercializador regulado,3,5,-3.22,-12.37,2
GRANDE,2025-04-16,Trader no regulado,1,2,6.45,-68.83,1
GRANDE,2025-04-17,Comercializador regulado,3,5,-8.55,-12.51,2
GRANDE,2025-04-17,Trader no regulado,1,2,14.32,-69.5,1
GRANDE,2025-04-18,Comercializador regulado,3,5,-15.96,-16.36,2
GRANDE,2025-04-18,Trader no regulado,1,2,6.66,-97.61,1
GRANDE,2025-04-19,Comercializador regulado,3,5,-5.94,-14.25,2
GRANDE,2025-04-19,Trader no regulado,1,2,12.35,-82.77,1
GRANDE,2025-04-20,Comercializador regulado,3,5,-9.18,-14.89,2
GRANDE,2025-04-20,Trader no regulado,1,2,4.72,-59.59,1
GRANDE,2025-04-21,Comercializador regulado,3,5,-11.24,-16.92,2
GRANDE,2025-04-21,Trader no regulado,1,2,5.31,-62.69,1
GRANDE,2025-04-22,Comercializador regulado,3,5,-16.66,-20.26,2
GRANDE,2025-04-22,Trader no regulado,1,2,-3.13,-48.73,1
GRANDE,2025-04-23,Comercializador regulado,3,5,-14.84,-18.44,2
GRANDE,2025-04-23,Trader no regulado,1,2,-4.48,-73.2,1
GRANDE,2025-04-24,Comercializador regulado,3,5,-14.8,-19.14,2
GRANDE,2025-04-24,Trader no regulado,1,2,0.8,-66.82,1
GRANDE,2025-04-25,Comercializador regulado,3,5,-6.97,-13.56,2
GRANDE,2025-04-25,Trader no regulado,1,2,3.32,-65.12,1
GRANDE,2025-04-26,Comercializador regulado,3,5,-10.81,-15.79,2
GRANDE,2025-04-26,Trader no regulado,1,2,3.34,-72.89,1
GRANDE,2025-04-27,Comercializador regulado,3,5,-6.01,-14.7,2
GRANDE,2025-04-27,Trader no regulado,1,2,9.87,-99.75,1
GRANDE,2025-04-28,Comercializador regulado,3,5,-9.31,-15.11,2
GRANDE,2025-04-28,Trader no regulado,1,2,1.19,-98.49,1
GRANDE,2025-04-29,Comercializador regulado,3,5,-7.91,-15.07,2
GRANDE,2025-04-29,Trader no regulado,1,2,4.01,-88.38,1
GRANDE,2025-04-30,Comercializador regulado,3,5,-8.85,-16.03,2
GRANDE,2025-04-30,Trader no regulado,1,2,-0.24,-85.38,1
GRANDE,2025-05-01,Comercializador regulado,3,5,-3.59,-8.85,1
GRANDE,2025-05-01,Trader no regulado,1,2,-6.25,-53.33,2
GRANDE,2025-05-02,Comercializador regulado,3,5,-10.73,-14.28,2
GRANDE,2025-05-02,Trader no regulado,1,2,-6.25,-52.19,1
GRANDE,2025-05-03,Comercializador regulado,3,5,-10.3,-14.04,2
GRANDE,2025-05-03,Trader no regulado,1,2,4.16,-49.28,1
GRANDE,2025-05-04,Comercializador regulado,3,5,-4.93,-10.82,2
GRANDE,2025-05-04,Trader no regulado,1,2,6.54,-54.31,1
GRANDE,2025-05-05,Comercializador regulado,3,5,-12.11,-17.44,2
GRANDE,2025-05-05,Trader no regulado,1,2,5.69,-53.44,1
GRANDE,2025-05-06,Comercializador regulado,3,5,-15.41,-20.52,2
GRANDE,2025-05-06,Trader no regulado,1,2,-3.0,-34.02,1
GRANDE,2025-05-07,Comercializador regulado,3,5,-9.34,-15.88,2
GRANDE,2025-05-07,Trader no regulado,1,2,7.8,-36.97,1
GRANDE,2025-05-08,Comercializador regulado,3,5,-8.92,-16.22,2
GRANDE,2025-05-08,Trader no regulado,1,2,-6.51,-49.86,1
GRANDE,2025-05-09,Comercializador regulado,3,5,-8.5,-10.91,2
GRANDE,2025-05-09,Trader no regulado,1,2,3.88,-40.43,1
GRANDE,2025-05-10,Comercializador regulado,3,5,-3.95,-10.35,2
GRANDE,2025-05-10,Trader no regulado,1,2,-0.29,-45.32,1
GRANDE,2025-05-11,Comercializador regulado,3,5,-6.47,-9.23,2
GRANDE,2025-05-11,Trader no regulado,1,2,0.15,-50.49,1
GRANDE,2025-05-12,Comercializador regulado,3,5,-7.24,-14.21,1
GRANDE,2025-05-12,Trader no regulado,1,2,-7.3,-58.81,2
GRANDE,2025-05-13,Comercializador regulado,3,5,-13.17,-15.94,1
GRANDE,2025-05-13,Trader no regulado,1,2,-25.91,-51.62,2
GRANDE,2025-05-14,Comercializador regulado,3,5,-14.35,-17.5,2
GRANDE,2025-05-14,Trader no regulado,1,2,-6.24,-47.9,1
GRANDE,2025-05-15,Comercializador regulado,3,5,-6.01,-12.14,2
GRANDE,2025-05-15,Trader no regulado,1,2,-5.33,-49.42,1
GRANDE,2025-05-16,Comercializador regulado,3,5,-8.33,-15.12,2
GRANDE,2025-05-16,Trader no regulado,1,2,3.45,-47.47,1
GRANDE,2025-05-17,Comercializador regulado,3,5,-6.16,-10.85,1
GRANDE,2025-05-17,Trader no regulado,1,2,-6.57,-54.9,2
GRANDE,2025-05-18,Comercializador regulado,3,5,-8.34,-14.59,2
GRANDE,2025-05-18,Trader no regulado,1,2,-4.57,-62.56,1
GRANDE,2025-05-19,Comercializador regulado,3,5,-12.84,-16.52,2
GRANDE,2025-05-19,Trader no regulado,1,2,0.31,-65.31,1
GRANDE,2025-05-20,Comercializador regulado,3,5,-17.86,-19.67,2
GRANDE,2025-05-20,Trader no regulado,1,2,-9.4,-51.78,1
GRANDE,2025-05-21,Comercializador regulado,3,5,-17.86,-19.44,2
GRANDE,2025-05-21,Trader no regulado,1,2,-5.45,-47.75,1
GRANDE,2025-05-22,Comercializador regulado,3,5,-13.81,-16.79,2
GRANDE,2025-05-22,Trader no regulado,1,2,-4.34,-58.29,1
GRANDE,2025-05-23,Comercializador regulado,3,5,-11.54,-17.56,2
GRANDE,2025-05-23,Trader no regulado,1,2,-3.15,-48.61,1
GRANDE,2025-05-24,Comercializador regulado,3,5,-2.28,-8.74,2
GRANDE,2025-05-24,Trader no regulado,1,2,2.65,-44.09,1
GRANDE,2025-05-25,Comercializador regulado,3,5,-3.93,-10.67,2
GRANDE,2025-05-25,Trader no regulado,1,2,-2.19,-47.45,1
GRANDE,2025-05-26,Comercializador regulado,3,5,-3.52,-9.65,2
GRANDE,2025-05-26,Trader no regulado,1,2,4.77,-61.46,1
GRANDE,2025-05-27,Comercializador regulado,3,5,-11.75,-14.02,2
GRANDE,2025-05-27,Trader no regulado,1,2,-0.98,-46.38,1
GRANDE,2025-05-28,Comercializador regulado,3,5,-6.91,-12.27,2
GRANDE,2025-05-28,Trader no regulado,1,2,-6.13,-52.95,1
GRANDE,2025-05-29,Comercializador regulado,3,5,-7.79,-14.37,1
GRANDE,2025-05-29,Trader no regulado,1,2,-91.74,-91.88,2
GRANDE,2025-05-30,Comercializador regulado,3,5,-0.85,-9.33,1
GRANDE,2025-05-30,Trader no regulado,1,2,-2.06,-43.33,2
GRANDE,2025-05-31,Comercializador regulado,3,5,-2.57,-10.54,2
GRANDE,2025-05-31,Trader no regulado,1,2,2.17,-46.46,1
GRANDE,2025-06-01,Comercializador regulado,3,5,-18.01,-18.58,2
GRANDE,2025-06-01,Trader no regulado,1,2,10.19,-51.99,1
GRANDE,2025-06-02,Comercializador regulado,3,5,-16.56,-15.93,2
GRANDE,2025-06-02,Trader no regulado,1,2,7.38,-44.34,1
GRANDE,2025-06-03,Comercializador regulado,3,5,-17.66,-17.06,2
GRANDE,2025-06-03,Trader no regulado,1,2,5.33,-49.02,1
GRANDE,2025-06-04,Comercializador regulado,3,5,-11.97,-12.91,2
GRANDE,2025-06-04,Trader no regulado,1,2,7.7,-42.31,1
GRANDE,2025-06-05,Comercializador regulado,3,5,-17.0,-17.77,2
GRANDE,2025-06-05,Trader no regulado,1,2,4.14,-39.18,1
GRANDE,2025-06-06,Comercializador regulado,3,5,-17.68,-17.77,2
GRANDE,2025-06-06,Trader no regulado,1,2,8.73,-35.39,1
GRANDE,2025-06-07,Comercializador regulado,3,5,-16.37,-15.03,2
GRANDE,2025-06-07,Trader no regulado,1,2,11.44,-43.18,1
GRANDE,2025-06-08,Comercializador regulado,3,5,-3.69,-7.03,2
GRANDE,2025-06-08,Trader no regulado,1,2,2.44,-48.59,1
GRANDE,2025-06-09,Comercializador regulado,3,5,-11.77,-13.34,2
GRANDE,2025-06-09,Trader no regulado,1,2,0.92,-53.3,1
GRANDE,2025-06-10,Comercializador regulado,3,5,-15.19,-17.41,2
GRANDE,2025-06-10,Trader no regulado,1,2,0.37,-55.8,1
GRANDE,2025-06-11,Comercializador regulado,3,5,-20.04,-21.8,2
GRANDE,2025-06-11,Trader no regulado,1,2,1.27,-60.77,1
GRANDE,2025-06-12,Comercializador regulado,3,5,-19.41,-20.62,2
GRANDE,2025-06-12,Trader no regulado,1,2,6.8,-51.15,1
GRANDE,2025-06-13,Comercializador regulado,3,5,-20.15,-25.82,2
GRANDE,2025-06-13,Trader no regulado,1,2,9.69,-51.01,1
GRANDE,2025-06-14,Comercializador regulado,3,5,-21.29,-24.14,2
GRANDE,2025-06-14,Trader no regulado,1,2,0.5,-75.75,1
GRANDE,2025-06-15,Comercializador regulado,3,5,-20.42,-23.28,2
GRANDE,2025-06-15,Trader no regulado,1,2,9.73,-81.32,1
GRANDE,2025-06-16,Comercializador regulado,3,5,-15.09,-16.6,2
GRANDE,2025-06-16,Trader no regulado,1,2,5.44,-73.41,1
GRANDE,2025-06-17,Comercializador regulado,3,5,-18.05,-19.22,2
GRANDE,2025-06-17,Trader no regulado,1,2,-0.63,-47.5,1
GRANDE,2025-06-18,Comercializador regulado,3,5,-18.11,-16.34,2
GRANDE,2025-06-18,Trader no regulado,1,2,9.02,-37.77,1
GRANDE,2025-06-19,Comercializador regulado,3,5,-14.19,-15.1,2
GRANDE,2025-06-19,Trader no regulado,1,2,-1.81,-39.05,1
GRANDE,2025-06-20,Comercializador regulado,3,5,-13.3,-14.7,2
GRANDE,2025-06-20,Trader no regulado,1,2,1.81,-34.89,1
GRANDE,2025-06-21,Comercializador regulado,3,5,-16.28,-15.79,2
GRANDE,2025-06-21,Trader no regulado,1,2,1.93,-40.26,1
GRANDE,2025-06-22,Comercializador regulado,3,5,-13.65,-16.43,2
GRANDE,2025-06-22,Trader no regulado,1,2,1.25,-45.27,1
GRANDE,2025-06-23,Comercializador regulado,3,5,-22.37,-25.45,2
GRANDE,2025-06-23,Trader no regulado,1,2,1.68,-34.35,1
GRANDE,2025-06-24,Comercializador regulado,3,5,-21.29,-23.55,2
GRANDE,2025-06-24,Trader no regulado,1,2,1.91,-34.38,1
GRANDE,2025-06-25,Comercializador regulado,3,5,-22.46,-23.07,2
GRANDE,2025-06-25,Trader no regulado,1,2,-4.24,-45.07,1
GRANDE,2025-06-26,Comercializador regulado,3,5,-20.99,-20.96,2
GRANDE,2025-06-26,Trader no regulado,1,2,-5.09,-43.29,1
GRANDE,2025-06-27,Comercializador regulado,3,5,-19.92,-19.22,2
GRANDE,2025-06-27,Trader no regulado,1,2,-2.39,-40.08,1
GRANDE,2025-06-28,Comercializador regulado,3,5,-17.89,-17.75,2
GRANDE,2025-06-28,Trader no regulado,1,2,1.79,-38.17,1
GRANDE,2025-06-29,Comercializador regulado,3,5,-17.63,-18.61,2
GRANDE,2025-06-29,Trader no regulado,1,2,2.04,-37.09,1
GRANDE,2025-06-30,Comercializador regulado,3,5,-20.05,-17.02,2
GRANDE,2025-06-30,Trader no regulado,1,2,9.65,-40.24,1
GRANDE,2025-07-01,Comercializador regulado,3,5,-13.62,-14.32,2
GRANDE,2025-07-01,Trader no regulado,1,2,4.45,-47.05,1
GRANDE,2025-07-02,Comercializador regulado,3,5,-13.86,-16.69,2
GRANDE,2025-07-02,Trader no regulado,1,2,-0.46,-43.2,1
GRANDE,2025-07-03,Comercializador regulado,3,5,-11.44,-15.18,2
GRANDE,2025-07-03,Trader no regulado,1,2,6.28,-33.42,1
GRANDE,2025-07-04,Comercializador regulado,3,5,-15.21,-18.09,2
GRANDE,2025-07-04,Trader no regulado,1,2,4.84,-31.78,1
GRANDE,2025-07-05,Comercializador regulado,3,5,-19.94,-21.5,2
