fecha,estrategia,cluster,n_agentes,mediana_margen_cop_kwh,media_margen_cop_kwh,puesto_del_dia
2026-01-27,Comercializador regulado,2,30,-47.89,-135.73,3
2026-01-27,Integrado/regional regulado,1,9,-36.08,-53.28,2
2026-01-27,Trader expuesto a bolsa (sin cobertura),3,5,0.4,0.13,1
2026-01-28,Trader con sobrecobertura de contratos,4,8,-53.39,-194.88,4
2026-01-28,Trader no regulado,0,12,-80.27,-197.41,5
2026-01-28,Comercializador regulado,2,29,-45.64,-134.64,3
2026-01-28,Integrado/regional regulado,1,9,-37.43,-53.35,2
2026-01-28,Trader expuesto a bolsa (sin cobertura),3,6,3.18,2.95,1
2026-01-29,Trader con sobrecobertura de contratos,4,9,-84.01,-185.45,4
2026-01-29,Trader no regulado,0,11,-99.03,-204.85,5
2026-01-29,Comercializador regulado,2,29,-53.1,-142.82,3
2026-01-29,Integrado/regional regulado,1,9,-34.42,-49.5,2
2026-01-29,Trader expuesto a bolsa (sin cobertura),3,6,10.77,10.41,1
2026-01-30,Trader con sobrecobertura de contratos,4,8,-70.11,-200.0,5
2026-01-30,Trader no regulado,0,12,-58.38,-181.7,3
2026-01-30,Comercializador regulado,2,29,-60.31,-141.65,4
2026-01-30,Integrado/regional regulado,1,9,-27.45,-46.2,2
2026-01-30,Trader expuesto a bolsa (sin cobertura),3,5,35.75,34.9,1
2026-01-31,Trader con sobrecobertura de contratos,4,9,-91.71,-194.05,5
2026-01-31,Trader no regulado,0,11,-64.11,-191.23,4
2026-01-31,Comercializador regulado,2,30,-58.52,-150.67,3
2026-01-31,Integrado/regional regulado,1,8,-28.55,-32.61,2
2026-01-31,Trader expuesto a bolsa (sin cobertura),3,5,34.76,34.18,1
2026-02-01,Trader con sobrecobertura de contratos,4,10,-186.96,-253.94,5
2026-02-01,Trader no regulado,0,10,-136.36,-223.25,4
2026-02-01,Comercializador regulado,2,31,-96.03,-167.41,3
2026-02-01,Integrado/regional regulado,1,7,-32.06,-44.01,2
2026-02-01,Trader expuesto a bolsa (sin cobertura),3,5,60.9,60.02,1
2026-02-02,Trader con sobrecobertura de contratos,4,9,-154.68,-212.92,5
2026-02-02,Trader no regulado,0,11,-92.75,-201.51,4
2026-02-02,Comercializador regulado,2,29,-57.01,-145.46,3
2026-02-02,Integrado/regional regulado,1,9,-33.31,-56.97,2
2026-02-02,Trader expuesto a bolsa (sin cobertura),3,5,81.47,80.49,1
2026-02-03,Trader con sobrecobertura de contratos,4,8,-62.75,-216.82,4
2026-02-03,Trader no regulado,0,13,-91.88,-212.91,5
2026-02-03,Comercializador regulado,2,29,-50.5,-134.3,3
2026-02-03,Integrado/regional regulado,1,9,-24.04,-49.72,2
2026-02-03,Trader expuesto a bolsa (sin cobertura),3,5,84.97,83.95,1
2026-02-04,Trader con sobrecobertura de contratos,4,8,-61.18,-211.16,5
2026-02-04,Trader no regulado,0,12,-58.08,-198.09,4
2026-02-04,Comercializador regulado,2,29,-47.54,-138.46,3
2026-02-04,Integrado/regional regulado,1,9,-19.6,-44.19,2
2026-02-04,Trader expuesto a bolsa (sin cobertura),3,5,78.43,77.52,1
2026-02-05,Trader con sobrecobertura de contratos,4,8,-57.19,-201.15,5
2026-02-05,Trader no regulado,0,12,-43.47,-184.6,3
2026-02-05,Comercializador regulado,2,30,-46.92,-166.66,4
2026-02-05,Integrado/regional regulado,1,9,-12.56,-34.13,2
2026-02-05,Trader expuesto a bolsa (sin cobertura),3,5,87.18,85.99,1
2026-02-06,Trader con sobrecobertura de contratos,4,8,-55.81,-199.05,5
2026-02-06,Trader no regulado,0,11,-42.39,-157.83,3
2026-02-06,Comercializador regulado,2,30,-47.37,-163.65,4
2026-02-06,Integrado/regional regulado,1,9,-14.26,-38.99,2
2026-02-06,Trader expuesto a bolsa (sin cobertura),3,5,88.77,87.26,1
2026-02-07,Trader con sobrecobertura de contratos,4,9,-74.56,-199.9,4
2026-02-07,Trader no regulado,0,10,-66.81,-174.71,3
2026-02-07,Comercializador regulado,2,31,-75.59,-173.89,5
2026-02-07,Integrado/regional regulado,1,8,-13.64,-25.07,2
2026-02-07,Trader expuesto a bolsa (sin cobertura),3,5,99.49,98.36,1
2026-02-08,Trader con sobrecobertura de contratos,4,10,-157.56,-246.93,5
2026-02-08,Trader no regulado,0,9,-70.3,-206.38,3
2026-02-08,Comercializador regulado,2,32,-88.1,-190.48,4
2026-02-08,Integrado/regional regulado,1,7,-19.83,-31.11,2
2026-02-08,Trader expuesto a bolsa (sin cobertura),3,5,102.88,101.62,1
2026-02-09,Trader con sobrecobertura de contratos,4,10,-69.53,-201.71,4
2026-02-09,Trader no regulado,0,10,-74.04,-221.59,5
2026-02-09,Comercializador regulado,2,30,-38.77,-166.58,3
2026-02-09,Integrado/regional regulado,1,9,-7.67,-33.12,2
2026-02-09,Trader expuesto a bolsa (sin cobertura),3,5,99.53,98.44,1
2026-02-10,Trader con sobrecobertura de contratos,4,8,-55.8,-179.06,4
2026-02-10,Trader no regulado,0,11,-130.76,-192.07,5
2026-02-10,Comercializador regulado,2,30,-27.79,-157.58,3
2026-02-10,Integrado/regional regulado,1,9,-7.81,-29.8,2
2026-02-10,Trader expuesto a bolsa (sin cobertura),3,5,97.81,96.71,1
2026-02-11,Trader con sobrecobertura de contratos,4,9,-45.87,-173.92,4
2026-02-11,Trader no regulado,0,11,-121.46,-230.11,5
2026-02-11,Comercializador regulado,2,30,-42.73,-163.26,3
2026-02-11,Integrado/regional regulado,1,9,-9.03,-31.32,2
2026-02-11,Trader expuesto a bolsa (sin cobertura),3,5,87.67,86.72,1
2026-02-12,Trader con sobrecobertura de contratos,4,9,-64.65,-179.03,4
2026-02-12,Trader no regulado,0,11,-135.55,-228.83,5
2026-02-12,Comercializador regulado,2,30,-35.65,-160.08,3
2026-02-12,Integrado/regional regulado,1,9,-8.11,-30.1,2
2026-02-12,Trader expuesto a bolsa (sin cobertura),3,5,89.74,88.53,1
2026-02-13,Trader con sobrecobertura de contratos,4,8,-48.78,-185.95,3
2026-02-13,Trader no regulado,0,11,-91.92,-178.77,5
2026-02-13,Comercializador regulado,2,30,-49.8,-160.51,4
2026-02-13,Integrado/regional regulado,1,9,-11.44,-32.04,2
2026-02-13,Trader expuesto a bolsa (sin cobertura),3,5,96.36,94.75,1
2026-02-14,Trader con sobrecobertura de contratos,4,9,-104.85,-201.94,5
2026-02-14,Trader no regulado,0,10,-104.26,-189.37,4
2026-02-14,Comercializador regulado,2,31,-89.21,-175.37,3
2026-02-14,Integrado/regional regulado,1,8,-8.71,-16.26,2
2026-02-14,Trader expuesto a bolsa (sin cobertura),3,5,93.77,92.7,1
2026-02-15,Trader con sobrecobertura de contratos,4,11,-158.87,-255.41,5
2026-02-15,Comercializador regulado,2,32,-83.14,-200.9,4
2026-02-15,Integrado/regional regulado,1,7,-11.8,-20.0,2
2026-02-15,Trader no regulado,0,8,-64.19,-218.15,3
2026-02-15,Trader expuesto a bolsa (sin cobertura),3,5,94.91,93.76,1
2026-02-16,Trader con sobrecobertura de contratos,4,8,-54.09,-201.46,3
2026-02-16,Trader no regulado,0,11,-82.67,-188.67,5
2026-02-16,Comercializador regulado,2,30,-63.93,-173.58,4
2026-02-16,Integrado/regional regulado,1,9,-8.41,-34.11,2
2026-02-16,Trader expuesto a bolsa (sin cobertura),3,5,101.44,100.34,1
2026-02-17,Trader con sobrecobertura de contratos,4,8,-51.46,-192.41,3
2026-02-17,Trader no regulado,0,12,-68.35,-200.51,5
2026-02-17,Comercializador regulado,2,30,-55.39,-165.23,4
2026-02-17,Integrado/regional regulado,1,9,-11.43,-34.16,2
2026-02-17,Trader expuesto a bolsa (sin cobertura),3,5,101.22,100.1,1
2026-02-18,Trader con sobrecobertura de contratos,4,8,-52.31,-187.55,4
2026-02-18,Trader no regulado,0,11,-81.0,-173.48,5
2026-02-18,Comercializador regulado,2,30,-51.71,-166.4,3
2026-02-18,Integrado/regional regulado,1,9,-12.36,-36.24,2
2026-02-18,Trader expuesto a bolsa (sin cobertura),3,5,89.13,88.15,1
2026-02-19,Trader con sobrecobertura de contratos,4,7,-56.69,-153.98,3
2026-02-19,Trader no regulado,0,13,-116.34,-222.47,5
2026-02-19,Comercializador regulado,2,30,-61.24,-167.52,4
2026-02-19,Integrado/regional regulado,1,9,-12.1,-32.98,2
2026-02-19,Trader expuesto a bolsa (sin cobertura),3,5,88.25,87.05,1
2026-02-20,Trader con sobrecobertura de contratos,4,9,-47.81,-176.17,4
2026-02-20,Trader no regulado,0,11,-127.61,-236.74,5
2026-02-20,Comercializador regulado,2,30,-43.65,-162.58,3
2026-02-20,Integrado/regional regulado,1,9,-8.93,-30.85,2
2026-02-20,Trader expuesto a bolsa (sin cobertura),3,5,93.43,91.9,1
2026-02-21,Trader con sobrecobertura de contratos,4,10,-98.3,-221.29,4
2026-02-21,Trader no regulado,0,10,-112.19,-211.04,5
2026-02-21,Comercializador regulado,2,31,-82.34,-172.38,3
2026-02-21,Integrado/regional regulado,1,8,-5.96,-14.46,2
2026-02-21,Trader expuesto a bolsa (sin cobertura),3,5,100.74,99.62,1
2026-02-22,Trader con sobrecobertura de contratos,4,10,-114.92,-233.28,4
2026-02-22,Comercializador regulado,2,32,-104.11,-191.03,3
2026-02-22,Integrado/regional regulado,1,7,-8.13,-18.46,2
2026-02-22,Trader no regulado,0,9,-145.74,-250.5,5
2026-02-22,Trader expuesto a bolsa (sin cobertura),3,5,100.41,99.2,1
2026-02-23,Trader con sobrecobertura de contratos,4,8,-43.38,-192.36,4
2026-02-23,Comercializador regulado,2,30,-41.17,-162.71,3
2026-02-23,Trader no regulado,0,11,-124.39,-202.15,5
2026-02-23,Integrado/regional regulado,1,9,-8.66,-32.53,2
2026-02-23,Trader expuesto a bolsa (sin cobertura),3,5,101.43,100.33,1
2026-02-24,Trader con sobrecobertura de contratos,4,9,-43.77,-182.17,4
2026-02-24,Trader no regulado,0,11,-160.48,-239.99,5
2026-02-24,Comercializador regulado,2,30,-40.65,-157.79,3
2026-02-24,Integrado/regional regulado,1,9,-11.08,-36.27,2
2026-02-24,Trader expuesto a bolsa (sin cobertura),3,5,94.25,93.19,1
2026-02-25,Trader con sobrecobertura de contratos,4,8,-40.06,-143.76,3
2026-02-25,Trader no regulado,0,11,-123.6,-234.21,5
2026-02-25,Comercializador regulado,2,30,-47.45,-160.34,4
2026-02-25,Integrado/regional regulado,1,9,-12.91,-35.84,2
2026-02-25,Trader expuesto a bolsa (sin cobertura),3,5,93.31,92.31,1
2026-02-26,Trader con sobrecobertura de contratos,4,8,-45.12,-192.84,3
2026-02-26,Comercializador regulado,2,30,-59.0,-167.6,4
2026-02-26,Trader no regulado,0,11,-94.88,-198.12,5
2026-02-26,Integrado/regional regulado,1,9,-9.81,-31.21,2
2026-02-26,Trader expuesto a bolsa (sin cobertura),3,5,93.59,92.34,1
2026-02-27,Trader con sobrecobertura de contratos,4,9,-67.55,-180.9,4
2026-02-27,Comercializador regulado,2,30,-42.31,-161.66,3
2026-02-27,Integrado/regional regulado,1,9,-9.19,-29.94,2
2026-02-27,Trader no regulado,0,10,-92.47,-214.69,5
2026-02-27,Trader expuesto a bolsa (sin cobertura),3,5,98.45,96.83,1
2026-02-28,Trader con sobrecobertura de contratos,4,9,-124.29,-206.21,4
2026-02-28,Trader no regulado,0,11,-156.1,-259.68,5
2026-02-28,Comercializador regulado,2,31,-54.63,-167.62,3
2026-02-28,Integrado/regional regulado,1,8,-7.78,-12.59,2
2026-02-28,Trader expuesto a bolsa (sin cobertura),3,5,96.29,95.19,1
2026-03-01,Trader con sobrecobertura de contratos,4,12,-141.04,-233.59,4
2026-03-01,Comercializador regulado,2,31,-103.46,-191.18,3
2026-03-01,Integrado/regional regulado,1,8,-0.84,-11.37,2
2026-03-01,Trader no regulado,0,7,-275.89,-279.53,5
2026-03-01,Trader expuesto a bolsa (sin cobertura),3,5,106.31,104.99,1
2026-03-02,Trader con sobrecobertura de contratos,4,10,-77.36,-192.06,4
2026-03-02,Comercializador regulado,2,30,-54.65,-161.2,3
2026-03-02,Integrado/regional regulado,1,9,-0.07,-23.34,2
2026-03-02,Trader no regulado,0,9,-122.29,-222.07,5
2026-03-02,Trader expuesto a bolsa (sin cobertura),3,5,105.99,104.82,1
2026-03-03,Trader con sobrecobertura de contratos,4,10,-69.64,-174.92,4
2026-03-03,Trader no regulado,0,10,-105.97,-247.18,5
2026-03-03,Comercializador regulado,2,30,-35.52,-133.95,3
2026-03-03,Integrado/regional regulado,1,9,-7.39,-28.91,2
2026-03-03,Trader expuesto a bolsa (sin cobertura),3,5,96.92,95.77,1
2026-03-04,Trader con sobrecobertura de contratos,4,9,-54.2,-180.73,4
2026-03-04,Trader no regulado,0,11,-176.36,-244.23,5
2026-03-04,Comercializador regulado,2,30,-31.84,-155.54,3
2026-03-04,Integrado/regional regulado,1,9,-6.05,-27.45,2
2026-03-04,Trader expuesto a bolsa (sin cobertura),3,5,98.43,97.34,1
2026-03-05,Trader con sobrecobertura de contratos,4,10,-56.65,-178.73,4
2026-03-05,Trader no regulado,0,10,-93.16,-245.69,5
2026-03-05,Comercializador regulado,2,30,-38.82,-158.84,3
2026-03-05,Integrado/regional regulado,1,9,-11.06,-25.64,2
2026-03-05,Trader expuesto a bolsa (sin cobertura),3,5,98.24,96.88,1
2026-03-06,Trader con sobrecobertura de contratos,4,10,-49.21,-161.91,4
2026-03-06,Trader no regulado,0,11,-263.3,-261.7,5
2026-03-06,Comercializador regulado,2,30,-26.05,-151.42,3
2026-03-06,Integrado/regional regulado,1,9,-5.83,-22.93,2
2026-03-06,Trader expuesto a bolsa (sin cobertura),3,5,101.38,99.7,1
2026-03-07,Trader con sobrecobertura de contratos,4,10,-112.89,-183.98,5
2026-03-07,Comercializador regulado,2,31,-89.94,-165.52,3
2026-03-07,Integrado/regional regulado,1,8,-3.39,-9.38,2
2026-03-07,Trader no regulado,0,9,-97.68,-217.31,4
2026-03-07,Trader expuesto a bolsa (sin cobertura),3,5,99.45,98.32,1
2026-03-08,Trader con sobrecobertura de contratos,4,11,-237.42,-253.79,4
2026-03-08,Trader no regulado,0,10,-296.62,-289.02,5
2026-03-08,Comercializador regulado,2,32,-64.22,-189.99,3
2026-03-08,Integrado/regional regulado,1,7,-17.92,-16.57,2
2026-03-08,Trader expuesto a bolsa (sin cobertura),3,5,104.65,103.34,1
2026-03-09,Trader con sobrecobertura de contratos,4,10,-89.46,-193.17,5
2026-03-09,Comercializador regulado,2,30,-43.46,-163.0,3
2026-03-09,Integrado/regional regulado,1,9,-12.93,-27.29,2
2026-03-09,Trader no regulado,0,9,-75.75,-215.17,4
2026-03-09,Trader expuesto a bolsa (sin cobertura),3,6,103.63,102.66,1
2026-03-10,Trader con sobrecobertura de contratos,4,9,-119.95,-187.35,5
2026-03-10,Comercializador regulado,2,30,-44.49,-165.35,3
2026-03-10,Trader no regulado,0,10,-53.37,-204.87,4
2026-03-10,Integrado/regional regulado,1,9,-21.28,-38.77,2
2026-03-10,Trader expuesto a bolsa (sin cobertura),3,6,50.32,49.72,1
2026-03-11,Trader con sobrecobertura de contratos,4,8,-55.7,-163.87,4
2026-03-11,Comercializador regulado,2,30,-54.38,-174.47,3
2026-03-11,Trader no regulado,0,12,-107.7,-262.82,5
2026-03-11,Integrado/regional regulado,1,9,-32.46,-48.73,2
2026-03-11,Trader expuesto a bolsa (sin cobertura),3,5,18.97,18.54,1
2026-03-12,Trader con sobrecobertura de contratos,4,7,-58.41,-118.49,4
2026-03-12,Trader no regulado,0,12,-115.44,-261.87,5
2026-03-12,Comercializador regulado,2,30,-46.75,-140.37,3
2026-03-12,Integrado/regional regulado,1,9,-31.88,-48.94,2
2026-03-12,Trader expuesto a bolsa (sin cobertura),3,6,31.06,30.49,1
2026-03-13,Trader con sobrecobertura de contratos,4,9,-73.33,-155.32,4
2026-03-13,Trader no regulado,0,11,-300.01,-280.06,5
2026-03-13,Comercializador regulado,2,30,-46.51,-138.98,3
2026-03-13,Integrado/regional regulado,1,9,-28.09,-46.24,2
2026-03-13,Trader expuesto a bolsa (sin cobertura),3,6,45.37,44.51,1
2026-03-14,Trader con sobrecobertura de contratos,4,8,-98.33,-176.32,4
2026-03-14,Trader no regulado,0,12,-157.13,-272.83,5
2026-03-14,Comercializador regulado,2,31,-48.45,-146.25,3
2026-03-14,Integrado/regional regulado,1,8,-29.46,-31.06,2
2026-03-14,Trader expuesto a bolsa (sin cobertura),3,6,37.4,36.87,1
2026-03-15,Trader con sobrecobertura de contratos,4,10,-144.17,-225.29,4
2026-03-15,Trader no regulado,0,10,-316.54,-318.14,5
2026-03-15,Comercializador regulado,2,32,-46.24,-163.71,3
2026-03-15,Integrado/regional regulado,1,7,-34.09,-34.66,2
2026-03-15,Trader expuesto a bolsa (sin cobertura),3,6,27.11,26.62,1
2026-03-16,Trader con sobrecobertura de contratos,4,7,-72.67,-165.05,4
2026-03-16,Trader no regulado,0,13,-178.04,-271.68,5
2026-03-16,Comercializador regulado,2,30,-51.43,-155.74,3
2026-03-16,Integrado/regional regulado,1,9,-47.85,-65.99,1
2026-03-16,Trader expuesto a bolsa (sin cobertura),3,6,-48.14,-48.14,2
2026-03-17,Trader con sobrecobertura de contratos,4,6,-59.07,-87.44,3
2026-03-17,Trader no regulado,0,14,-158.63,-280.31,5
2026-03-17,Comercializador regulado,2,30,-57.53,-156.33,2
2026-03-17,Integrado/regional regulado,1,9,-52.3,-68.51,1
2026-03-17,Trader expuesto a bolsa (sin cobertura),3,6,-67.33,-67.19,4
2026-03-18,Trader con sobrecobertura de contratos,4,7,-59.75,-135.22,3
2026-03-18,Trader no regulado,0,13,-158.16,-254.57,5
2026-03-18,Comercializador regulado,2,30,-56.41,-159.72,2
2026-03-18,Integrado/regional regulado,1,9,-52.69,-68.88,1
2026-03-18,Trader expuesto a bolsa (sin cobertura),3,6,-66.11,-65.99,4
2026-03-19,Trader con sobrecobertura de contratos,4,7,-65.82,-93.47,2
2026-03-19,Trader no regulado,0,13,-365.27,-293.01,5
2026-03-19,Comercializador regulado,2,30,-69.51,-162.57,3
2026-03-19,Integrado/regional regulado,1,9,-56.59,-73.6,1
2026-03-19,Trader expuesto a bolsa (sin cobertura),3,6,-91.8,-91.42,4
2026-03-20,Trader con sobrecobertura de contratos,4,8,-72.05,-154.15,3
2026-03-20,Trader no regulado,0,12,-138.79,-270.29,5
